1,0,    46,    60,    42,    27,    18,    16,0.000316228,0.000397992,0.000191238,0.00019062,0,0,0,0,0,0,0,0,0,0,0,0,0
2,250,    47,    55,    44,    24,    19,    21,0.000316228,0.000397992,0.000191238,0.00019062,0,0,0,0,0,0,0,0,0,0,0,0,0
3,500,    41,    54,    46,    27,    22,    25,0.000316228,0.000397992,0.000191238,0.00019062,0,0,0,0,0,0,0,0,0,0,0,0,0
4,750,    44,    57,    50,    26,    21,    21,0.000316228,0.000397992,0.000191238,0.00019062,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1000,    42,    61,    48,    27,    20,    18,0.000316228,0.000397992,0.000191238,0.00019062,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1250,    47,    53,    41,    22,    14,    16,0.000316228,0.000397992,0.000191238,0.00019062,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1500,    43,    51,    41,    22,    20,    22,0.000316228,0.000397992,0.000191238,0.00019062,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1750,    40,    51,    42,    28,    25,    21,0.000316228,0.000397992,0.000191238,0.00019062,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2000,    39,    58,    47,    28,    22,    17,0.000316228,0.000397992,0.000191238,0.00019062,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2250,    43,    62,    43,    26,    18,    19,0.000316228,0.000397992,0.000191238,0.00019062,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2500,    44,    59,    42,    24,    22,    18,0.000316228,0.000397992,0.000191238,0.00019062,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2750,    41,    52,    44,    23,    18,    23,0.000316228,0.000397992,0.000191238,0.00019062,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3000,    37,    56,    53,    24,    22,    19,0.000316228,0.000397992,0.000191238,0.00019062,0,0,0,0,0,0,0,0,0,0,0,0,0
14,3250,    44,    58,    47,    29,    19,    17,0.000316228,0.000397992,0.000191238,0.00019062,0,0,0,0,0,0,0,0,0,0,0,0,0
